,Category,Slice,No. Records,Precesion,Recall,FBeta
0,education,Bachelors,5355,0.9509536784741145,0.9428185502026114,0.9468686411937599
1,education,HS-grad,10501,0.9511881824020553,0.8841791044776119,0.9164603960396038
2,education,11th,1175,1.0,0.8666666666666667,0.9285714285714286
3,education,Masters,1723,0.9627329192546584,0.9697601668404588,0.9662337662337662
4,education,9th,514,1.0,0.9259259259259259,0.9615384615384615
5,education,Some-college,7291,0.9493575207860923,0.905551550108147,0.9269372693726937
6,education,Assoc-acdm,1067,0.9607843137254902,0.9245283018867925,0.9423076923076923
7,education,Assoc-voc,1382,0.9571428571428572,0.9279778393351801,0.9423347398030942
8,education,7th-8th,646,0.9722222222222222,0.875,0.9210526315789473
9,education,Doctorate,413,0.9709677419354839,0.9836601307189542,0.9772727272727273
10,education,Prof-school,576,0.9608294930875576,0.9858156028368794,0.9731621936989499
11,education,5th-6th,333,1.0,0.875,0.9333333333333333
12,education,10th,933,0.9285714285714286,0.8387096774193549,0.8813559322033899
13,education,1st-4th,168,1.0,1.0,1.0
14,education,Preschool,51,1.0,1.0,1.0
15,education,12th,433,1.0,0.9090909090909091,0.9523809523809523
